trial,nrmse,n_res,rho,density,input_scale,leak_rate,reg,washout,train_len,test_len
109,0.47184918,149,0.55236945,0.10133045,2.42442722,0.09936628,0.22282699,270,20571,6270
110,0.22649817,532,0.82837781,0.01293532,4.74625413,0.42369694,0.01336437,537,4189,5457
111,0.02873371,953,0.86756588,0.17423815,3.83560853,0.94763297,0.35789665,329,22996,4668
112,0.94465992,722,1.03808889,0.21603008,4.59760794,0.02481694,0.12998569,406,12834,2876
113,0.04622057,299,0.66816340,0.01353476,0.55408879,0.59966864,0.25658988,85,17255,6901
114,0.04706294,634,0.86652228,0.43166309,4.29788667,0.60326216,0.35202988,109,20884,4602
115,0.12587518,677,0.57043837,0.18595431,3.80310974,0.25868647,0.11596333,358,8519,7331
116,0.10673145,626,1.03997369,0.11936653,3.76352883,0.26122512,0.33148320,400,7278,3758
117,0.03523602,986,0.76525902,0.05669334,2.84663304,0.56909585,0.18947148,283,15557,4692
118,0.04917405,288,1.03255523,0.35801907,1.32445795,0.44481323,0.03549166,489,11347,4713
119,0.11821182,609,0.53163742,0.12432763,2.94871586,0.29335468,0.41538168,702,2032,6897
120,0.02504800,225,0.71804111,0.13370295,2.64219163,0.95423821,0.20766561,609,12604,7314
121,1.75184870,143,0.84579804,0.39294678,2.99680862,0.01698844,0.13430785,681,4501,4378
122,0.03758199,221,0.55212516,0.18862296,1.22808955,0.91491837,0.40680919,403,14420,2781
123,1.63251444,148,0.50578592,0.15889289,0.74414913,0.07257842,0.01770230,423,2169,3895
124,0.03596575,831,0.78996007,0.35367108,1.40626869,0.45461684,0.35754499,121,14044,5946
125,0.03258328,865,0.50791258,0.34592619,2.38839829,0.73487359,0.47508879,116,5247,3204
126,0.02683990,791,0.81747993,0.01565407,4.57791890,0.70348798,0.45269555,76,19224,6484
127,0.17751151,501,0.51914676,0.11475459,3.44708964,0.15066421,0.23246695,615,3139,6266
128,0.09073601,923,0.65685338,0.15753814,4.81039873,0.27435856,0.26570516,65,20666,4834
129,0.40628954,327,1.03509636,0.05209149,3.69227236,0.59348770,0.04195025,72,20021,6925
130,0.09356841,682,0.70826718,0.41652214,1.73523085,0.33565382,0.41205252,580,17884,2022
131,0.06666161,135,1.00058914,0.10285253,4.29921835,0.66447711,0.03907308,266,17848,3315
132,0.22204841,498,0.65918546,0.04559628,4.38006373,0.11993202,0.16158417,688,5705,6144
133,0.03544603,844,0.86822639,0.06142233,3.88271642,0.91847203,0.15994077,455,4736,5366
134,0.03464918,198,0.76812236,0.15812889,4.30127543,0.70329436,0.33656288,125,12395,5797
135,0.89206918,705,0.60037194,0.12228325,1.50512779,0.46552779,0.04563527,732,20473,2881
136,0.08095642,402,0.98724909,0.16270473,0.32634856,0.66416952,0.14332158,245,21648,3356
